url,title,h1,description,date,content_preview,scraped_at
https://restaurant.ikyu.com/rsSpcl/sp/kawayuka/start.htm,「京都川床・納涼床2025」一休.comレストラン予約スタート！［一休.comレストラン］,,京都の初夏〜夏にかけての風物詩である川床・納涼床が一休.comレストランにて予約中！2025年も涼をお愉しみください。,日付不明,本文なし,2025-08-21T12:49:49.180652
https://www.lycorp.co.jp/ja/news/,ニュース｜LINEヤフー株式会社,ニュース,LINEヤフー株式会社のニュースのページです。,2025年8月21日,本文なし,2025-08-21T12:49:50.678327
https://news.yahoo.co.jp/pickup/6549743,早場米が高値 背景にJAの概算金 - Yahoo!ニュース,Yahoo!ニュース,九州や四国などで早場米の出荷が始まり、スーパーの店頭では5キロで4000～5000円の高値で販売されている。2025年産のコメを巡っては高温障害などが心配され、想定通りの収穫量が確保できるか、懸念が,2025年10月31日,早場米が高値 背景にJAの概算金8/21(木) 7:59毎日新聞早場米、5キロ4000円超の高値に　背景にJAの“仮払金”毎日新聞854解説コメント854件九州や四国などで早場米の出荷が始まり、スーパーの店頭では5キロで4000～5000円の高値で販売されている。2025年産のコメを巡っては高温障害などが心配され、想定通りの収穫量が確保できるか、懸念が出ている。その一方、農業協同組合（JA）が農家...,2025-08-21T12:49:52.128322
https://news.yahoo.co.jp/pickup/6549771,アイヌ兵の骨探す旅 協力拒む遺族 - Yahoo!ニュース,Yahoo!ニュース,沖縄戦では、20万人以上が犠牲になった。そのなかで、北海道出身の死者数が沖縄県民に次いで多かったことは、あまり知られていない。さらに、そのうち少なくとも43人がアイヌ民族だったといわれている。彼らは,日付不明,アイヌ兵の骨探す旅 協力拒む遺族8/21(木) 11:44北海道ニュースUHB太平洋戦争　終戦から80年いまだ1人も遺骨が見つからない“アイヌ兵”を「故郷に返したい」…20歳の大学生が遺族探しの旅で感じた失意と覚悟 #戦争の記憶北海道ニュースUHB105コメント105件沖縄戦では、20万人以上が犠牲になった。そのなかで、北海道出身の死者数が沖縄県民に次いで多かったことは、あまり知られていない。さら...,2025-08-21T12:49:53.380891
https://news.yahoo.co.jp/pickup/6549767,大谷アクシデント 右脚に打球直撃 - Yahoo!ニュース,Yahoo!ニュース,◆米大リーグ　ロッキーズ―ドジャース（２０日、米コロラド州デンバー＝クアーズフィールド）　ドジャース・大谷翔平投手（３１）が２０日（日本時間２１日）、敵地・ロッキーズ戦に「１番・投手」で先発出場し、,2021年9月10日,"大谷アクシデント 右脚に打球直撃8/21(木) 11:47スポーツ報知2025年の大谷翔平大谷翔平、右脚に打球直撃のアクシデントで続投も４回９安打５失点降板と乱調　標高１６００メートルの敵地登板に苦戦…節目のメジャー１０００試合目スポーツ報知421コメント421件◆米大リーグ　ロッキーズ―ドジャース（２０日、米コロラド州デンバー＝クアーズフィールド）

　ドジャース・大谷翔平投手（３１）が２０日（...",2025-08-21T12:49:54.573534
http://www.asahi.com/news/,速報・新着ニュース一覧：朝日新聞,,朝日新聞のデジタル版「速報・新着ニュース一覧」ページです。政治、経済、社会、国際、スポーツ、文化、科学などの速報記事をお届けします。教育、医療、環境、デジタル、ファッション、車、旅、鉄道などの話題や写真も。,日付不明,本文なし,2025-08-21T12:49:58.149976
https://www.asahi.com/news/?iref=pc_gnavi,速報・新着ニュース一覧：朝日新聞,,朝日新聞のデジタル版「速報・新着ニュース一覧」ページです。政治、経済、社会、国際、スポーツ、文化、科学などの速報記事をお届けします。教育、医療、環境、デジタル、ファッション、車、旅、鉄道などの話題や写真も。,日付不明,本文なし,2025-08-21T12:49:59.882669
https://www.asahi.com/articles/AST8P02Q9T8PUTIL005M.html?iref=comtop_BreakingNews_list,鹿児島県で線状降水帯発生の恐れ　九州の西の海上には台風12号 [鹿児島県]：朝日新聞,,　気象庁は21日、奄美を除く鹿児島県で21日夕方から22日夕方にかけて、線状降水帯が発生して大雨災害の危険度が急激に高まる可能性があると発表した。また、21日午前9時、九州の西の海上で台風12号が発生…,2025年8月21日,"鹿児島県で線状降水帯発生の恐れ　九州の西の海上には台風12号力丸祥子2025年8月21日 9時31分（2025年8月21日 10時46分更新）印刷するメールでシェアするFacebookでシェアするXでシェアするlistはてなブックマークでシェアする大雨






[PR]



　気象庁は21日、奄美を除く鹿児島県で21日夕方から22日夕方にかけて、線状降水帯が発生して大雨災害の危険度が急激に高...",2025-08-21T12:50:02.196618
https://www.asahi.com/articles/AST8P0CL6T8POIPE01FM.html?iref=comtop_BreakingNews_list,東海道新幹線の発煙トラブル、列車を浜松工場へ回送　原因調査へ [岐阜県]：朝日新聞,,　東海道新幹線で15日夜、走行中の車両の床下から発煙があったトラブルで、JR東海は21日、岐阜羽島駅（岐阜県羽島市）に留置していた列車を原因調査のため同社浜松工場（浜松市）へ回送させたと発表した。　ト…,2025年8月21日,"東海道新幹線の発煙トラブル、列車を浜松工場へ回送　原因調査へ松本敏博2025年8月21日 10時32分印刷するメールでシェアするFacebookでシェアするXでシェアするlistはてなブックマークでシェアする走行中に床下から発煙し、JR岐阜羽島駅の0番線ホームに留置されていた東海道新幹線の「N700S」車両=2025年8月18日午後6時9分、岐阜県羽島市、JR東海提供






[PR]



...",2025-08-21T12:50:03.866663
https://www.asahi.com/articles/AST8N7H84T8NUTFL001M.html?iref=comtop_BreakingNews_list,東北北部で記録的な大雨　21日も土砂災害に厳重警戒を呼び掛け：朝日新聞,,　前線や低気圧の影響で、東北北部は20日夜から21日早朝にかけて記録的な大雨となった。雨のピークは超えたものの、気象庁は21日の昼前にかけて、土砂災害に厳重に警戒するよう呼びかけている。　気象庁による…,2025年8月21日,"東北北部で記録的な大雨　21日も土砂災害に厳重警戒を呼び掛け足立菜摘2025年8月21日 7時40分印刷するメールでシェアするFacebookでシェアするXでシェアするlistはてなブックマークでシェアする東北北部の大雨により欄干に流木が突き刺さった橋=2025年8月20日午後0時44分、秋田県仙北市、阿部浩明撮影






[PR]



　前線や低気圧の影響で、東北北部は20日夜から21日早...",2025-08-21T12:50:05.359497
